$0;1753064332960374200;1.14;KIEKER-SINGLETON;4180L-212561-W;1;false;0;NANOSECONDS;0
$1;1753064364292063300;public void org.mybatis.jpetstore.domain.Item.setListPrice(java.math.BigDecimal);<no-session-id>;676806581500772409;1753064364292020700;1753064364292050900;4180L-212561-W;12;2
$1;1753064364292375100;public void org.mybatis.jpetstore.domain.Item.setUnitCost(java.math.BigDecimal);<no-session-id>;676806581500772409;1753064364292349200;1753064364292369100;4180L-212561-W;13;2
$1;1753064364297282800;public void org.mybatis.jpetstore.domain.Item.setSupplierId(int);<no-session-id>;676806581500772409;1753064364297244400;1753064364297276200;4180L-212561-W;14;2
$1;1753064364297424000;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364297418000;1753064364297420500;4180L-212561-W;15;2
$1;1753064364297498100;public org.mybatis.jpetstore.domain.Product.<init>();<no-session-id>;676806581500772409;1753064364297492700;1753064364297494800;4180L-212561-W;16;2
$1;1753064364297767900;public void org.mybatis.jpetstore.domain.Item.setProduct(org.mybatis.jpetstore.domain.Product);<no-session-id>;676806581500772409;1753064364297748000;1753064364297763500;4180L-212561-W;17;2
$1;1753064364297822900;public void org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String);<no-session-id>;676806581500772409;1753064364297817000;1753064364297819800;4180L-212561-W;18;2
$1;1753064364297883000;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364297878000;1753064364297879900;4180L-212561-W;19;2
$1;1753064364297937500;public void org.mybatis.jpetstore.domain.Product.setName(java.lang.String);<no-session-id>;676806581500772409;1753064364297932300;1753064364297934600;4180L-212561-W;20;2
$1;1753064364297989400;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364297984500;1753064364297986300;4180L-212561-W;21;2
$1;1753064364298032000;public void org.mybatis.jpetstore.domain.Product.setDescription(java.lang.String);<no-session-id>;676806581500772409;1753064364298027200;1753064364298029200;4180L-212561-W;22;2
$1;1753064364298078800;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364298074200;1753064364298075900;4180L-212561-W;23;2
$1;1753064364298120000;public void org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String);<no-session-id>;676806581500772409;1753064364298114900;1753064364298116900;4180L-212561-W;24;2
$1;1753064364298372700;public void org.mybatis.jpetstore.domain.Item.setStatus(java.lang.String);<no-session-id>;676806581500772409;1753064364298348700;1753064364298367900;4180L-212561-W;25;2
$1;1753064364298578300;public void org.mybatis.jpetstore.domain.Item.setAttribute1(java.lang.String);<no-session-id>;676806581500772409;1753064364298557600;1753064364298573700;4180L-212561-W;26;2
$1;1753064364298725100;public org.mybatis.jpetstore.domain.Item.<init>();<no-session-id>;676806581500772409;1753064364298719900;1753064364298722000;4180L-212561-W;27;2
$1;1753064364298817800;public void org.mybatis.jpetstore.domain.Item.setItemId(java.lang.String);<no-session-id>;676806581500772409;1753064364298812000;1753064364298814600;4180L-212561-W;28;2
$1;1753064364298863500;public void org.mybatis.jpetstore.domain.Item.setListPrice(java.math.BigDecimal);<no-session-id>;676806581500772409;1753064364298858600;1753064364298860400;4180L-212561-W;29;2
$1;1753064364298910000;public void org.mybatis.jpetstore.domain.Item.setUnitCost(java.math.BigDecimal);<no-session-id>;676806581500772409;1753064364298904700;1753064364298906900;4180L-212561-W;30;2
$1;1753064364298963300;public void org.mybatis.jpetstore.domain.Item.setSupplierId(int);<no-session-id>;676806581500772409;1753064364298957400;1753064364298960200;4180L-212561-W;31;2
$1;1753064364299009800;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364299004900;1753064364299006800;4180L-212561-W;32;2
$1;1753064364299049800;public org.mybatis.jpetstore.domain.Product.<init>();<no-session-id>;676806581500772409;1753064364299045300;1753064364299047100;4180L-212561-W;33;2
$1;1753064364299089100;public void org.mybatis.jpetstore.domain.Item.setProduct(org.mybatis.jpetstore.domain.Product);<no-session-id>;676806581500772409;1753064364299084200;1753064364299086200;4180L-212561-W;34;2
$1;1753064364299125900;public void org.mybatis.jpetstore.domain.Product.setProductId(java.lang.String);<no-session-id>;676806581500772409;1753064364299121000;1753064364299123100;4180L-212561-W;35;2
$1;1753064364299169200;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.domain.Item.getProduct();<no-session-id>;676806581500772409;1753064364299164500;1753064364299166300;4180L-212561-W;36;2
$1;1753064364299206600;public void org.mybatis.jpetstore.domain.Product.setName(java.lang.String);<no-session-id>;676806581500772409;1753064364299202000;1753064364299203900;4180L-212561-W;37;2
